JSHSHIR,NS10_CODE,NS11_CODE,NA2_CODE,MONTH,NAC,UPL,YEAR,DISTRICT_NAME
YTT_003000,26,2611,100,5,848124.3523117314,633377.8720755083,2026,Bektemir tumani
YTT_001406,26,2605,46,8,6156250.308522952,4347392.205773863,2026,Shayxontohur tumani
YTT_001989,26,2602,181,5,4804891.430206781,4245102.109871457,2026,Mirzo Ulug'bek tumani
YTT_000178,26,2601,172,11,2552969.683997906,1822819.5858389388,2026,Mirobod tumani
YTT_002802,26,2603,181,7,20441082.627298478,17171099.499580592,2026,Yunusobod tumani
YTT_002657,26,2605,130,7,66768.63305624561,65610.90012645362,2026,Shayxontohur tumani
YTT_001533,26,2609,134,5,1312631.254476889,1013755.1460830024,2026,Olmazor tumani
YTT_004374,26,5026,100,3,12002114.43696512,9333252.191823322,2026,Toshkent shahri (maxsus toifa)
YTT_003893,26,2606,51,10,4193181.228124015,2974617.552721432,2026,Chilonzor tumani
YTT_002232,26,2602,134,4,4555272.061916375,4448506.827561862,2026,Mirzo Ulug'bek tumani
YTT_002138,26,2612,130,8,9306636.237223087,8601156.29139919,2026,Yangihayot tumani
YTT_000939,26,2610,130,12,4670164.075755418,3655803.2924746615,2026,Uchtepa tumani
YTT_001109,26,2601,130,7,2753045.308884588,2253269.7295727544,2026,Mirobod tumani
YTT_001036,26,2611,38,1,6212562.594700106,5821498.318195406,2026,Bektemir tumani
YTT_002555,26,2607,134,9,12323148.648095923,11768749.578883069,2026,Sergeli tumani
YTT_004764,26,2607,99,8,5481909.239021063,4809768.708949055,2026,Sergeli tumani
YTT_000575,26,2601,38,5,17826604.823010754,17018598.758302208,2026,Mirobod tumani
YTT_001477,26,2607,172,9,6200813.9949686015,4546853.802559088,2026,Sergeli tumani
YTT_004526,26,2607,1,4,4142264.4114316152,3763888.5477164737,2026,Sergeli tumani
YTT_003350,26,5026,199,11,1134887.1106616238,1115430.6868033994,2026,Toshkent shahri (maxsus toifa)
YTT_002403,26,2606,181,2,4895540.982847421,3861064.735471825,2026,Chilonzor tumani
YTT_002544,26,2612,181,12,2693639.380109388,2599319.1128056953,2026,Yangihayot tumani
YTT_001809,26,2612,130,7,11866563.853316953,9275377.111482732,2026,Yangihayot tumani
YTT_003549,26,2604,182,9,1817643.7323660397,1362136.316495023,2026,Yakkasaroy tumani
YTT_000794,26,2605,1,3,1569530.2325123206,1213619.8790673465,2026,Shayxontohur tumani
YTT_004034,26,2608,130,4,2259872.494834812,2240741.8262986843,2026,Yashnobod tumani
YTT_000053,26,2603,1,5,1676248.3819054086,1191923.3730787255,2026,Yunusobod tumani
YTT_002646,5026,2612,51,7,1633129.6050518467,1588185.4958255289,2026,Yangihayot tumani
YTT_004310,26,2612,134,6,1385724.067798631,1249425.1689180417,2026,Yangihayot tumani
YTT_000282,26,2601,199,6,2292613.99632152,2039719.756577427,2026,Mirobod tumani
YTT_003211,26,2601,130,12,3548403.3094634204,3224589.6565395333,2026,Mirobod tumani
YTT_002618,26,2611,46,3,6209230.69027243,5854375.105040208,2026,Bektemir tumani
YTT_002399,26,2604,130,1,2533935.7891858914,2167339.6555303973,2026,Yakkasaroy tumani
YTT_002120,26,2612,130,9,1172739.299310994,1011410.704749665,2026,Yangihayot tumani
YTT_004679,26,2612,134,9,3634925.305151483,2828876.083979888,2026,Yangihayot tumani
YTT_002259,5026,2605,47,11,1045630.7064383139,819420.429331731,2026,Shayxontohur tumani
YTT_004792,26,2603,46,8,2591837.689201319,2504573.182835313,2026,Yunusobod tumani
YTT_002448,26,2608,46,6,5528007.099937908,4832616.899798439,2026,Yashnobod tumani
YTT_002948,26,2603,130,2,876579.0805209953,757907.9245248258,2026,Yunusobod tumani
YTT_004587,26,5026,130,4,6227086.444492694,4802171.684160762,2026,Toshkent shahri (maxsus toifa)
YTT_001831,26,2608,100,7,6381640.975393714,5056928.694434832,2026,Yashnobod tumani
